v8-version,6,2,414,66,0
shared-library,"/usr/local/bin/node",0x100001500,0x100baf9aa,0
shared-library,"/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation",0x7fff4616cde0,0x7fff4630b237,468897792
shared-library,"/usr/lib/libSystem.B.dylib",0x7fff7085994c,0x7fff70859b2e,468897792
shared-library,"/usr/lib/libc++.1.dylib",0x7fff70ab2950,0x7fff70afb236,468897792
shared-library,"/usr/lib/libobjc.A.dylib",0x7fff72300bc0,0x7fff72321c52,468897792
shared-library,"/usr/lib/libDiagnosticMessagesClient.dylib",0x7fff704a6f7b,0x7fff704a7956,468897792
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff7176e928,0x7fff7195bb46,468897792
shared-library,"/usr/lib/libz.1.dylib",0x7fff731e3390,0x7fff731eebd5,468897792
shared-library,"/usr/lib/libc++abi.dylib",0x7fff70b0ada0,0x7fff70b19f00,468897792
shared-library,"/usr/lib/system/libcache.dylib",0x7fff73265b30,0x7fff7326856e,468897792
shared-library,"/usr/lib/system/libcommonCrypto.dylib",0x7fff7326aaf0,0x7fff73273c7d,468897792
shared-library,"/usr/lib/system/libcompiler_rt.dylib",0x7fff73275e8c,0x7fff7327aa6e,468897792
shared-library,"/usr/lib/system/libcopyfile.dylib",0x7fff7327db9c,0x7fff7328522b,468897792
shared-library,"/usr/lib/system/libcorecrypto.dylib",0x7fff73288600,0x7fff732ed7d3,468897792
shared-library,"/usr/lib/system/libdispatch.dylib",0x7fff733935c0,0x7fff733c1e40,468897792
shared-library,"/usr/lib/system/libdyld.dylib",0x7fff733ce608,0x7fff733f59e9,468897792
shared-library,"/usr/lib/system/libkeymgr.dylib",0x7fff733fda47,0x7fff733fde90,468897792
shared-library,"/usr/lib/system/liblaunch.dylib",0x7fff7340bfc0,0x7fff7340bfc0,468897792
shared-library,"/usr/lib/system/libmacho.dylib",0x7fff7340d5c0,0x7fff734119ab,468897792
shared-library,"/usr/lib/system/libquarantine.dylib",0x7fff73412fc3,0x7fff73414ac0,468897792
shared-library,"/usr/lib/system/libremovefile.dylib",0x7fff73415990,0x7fff73416c71,468897792
shared-library,"/usr/lib/system/libsystem_asl.dylib",0x7fff734188e8,0x7fff7342d13f,468897792
shared-library,"/usr/lib/system/libsystem_blocks.dylib",0x7fff7342f83c,0x7fff7342fcee,468897792
shared-library,"/usr/lib/system/libsystem_c.dylib",0x7fff73430df4,0x7fff734b11ee,468897792
shared-library,"/usr/lib/system/libsystem_configuration.dylib",0x7fff734b9e60,0x7fff734bc6bd,468897792
shared-library,"/usr/lib/system/libsystem_coreservices.dylib",0x7fff734be110,0x7fff734c0350,468897792
shared-library,"/usr/lib/system/libsystem_darwin.dylib",0x7fff734c2884,0x7fff734c5c1f,468897792
shared-library,"/usr/lib/system/libsystem_dnssd.dylib",0x7fff734c8f78,0x7fff734cd4ae,468897792
shared-library,"/usr/lib/system/libsystem_info.dylib",0x7fff734d0470,0x7fff735177f0,468897792
shared-library,"/usr/lib/system/libsystem_m.dylib",0x7fff73545900,0x7fff735760a2,468897792
shared-library,"/usr/lib/system/libsystem_malloc.dylib",0x7fff735921e0,0x7fff735af88a,468897792
shared-library,"/usr/lib/system/libsystem_networkextension.dylib",0x7fff735b715a,0x7fff735bfb90,468897792
shared-library,"/usr/lib/system/libsystem_notify.dylib",0x7fff735c378f,0x7fff735c9840,468897792
shared-library,"/usr/lib/system/libsystem_sandbox.dylib",0x7fff735df9f0,0x7fff735e24ad,468897792
shared-library,"/usr/lib/system/libsystem_secinit.dylib",0x7fff735e426f,0x7fff735e53ec,468897792
shared-library,"/usr/lib/system/libsystem_kernel.dylib",0x7fff7351cf60,0x7fff7353c3d9,468897792
shared-library,"/usr/lib/system/libsystem_platform.dylib",0x7fff735cb560,0x7fff735d156a,468897792
shared-library,"/usr/lib/system/libsystem_pthread.dylib",0x7fff735d4a68,0x7fff735dcb0f,468897792
shared-library,"/usr/lib/system/libsystem_symptoms.dylib",0x7fff735e6990,0x7fff735ec2ee,468897792
shared-library,"/usr/lib/system/libsystem_trace.dylib",0x7fff735ef954,0x7fff73600c2d,468897792
shared-library,"/usr/lib/system/libunwind.dylib",0x7fff736059d8,0x7fff7360a2a7,468897792
shared-library,"/usr/lib/system/libxpc.dylib",0x7fff7360c608,0x7fff7362fc72,468897792
tick,0x7fff7351d1b6,397,0,0x0,4
profiler,"begin",1000
tick,0x1007e995c,1640,0,0x0,4
tick,0x7fff735cbe1c,2915,0,0x0,4
code-creation,Stub,3,3393,0x1a7d5ed84060,234,"JSEntryStub"
code-creation,Builtin,5,3400,0x1a7d5ed841c0,128,"JSEntryTrampoline"
code-creation,Stub,3,3462,0x1a7d5ed842a0,286,"CEntryStub"
code-creation,Builtin,5,3463,0x1a7d5ed84420,123,"Call_ReceiverIsAny"
code-creation,Builtin,5,3466,0x1a7d5ed84500,295,"CallFunction_ReceiverIsAny"
code-creation,Builtin,5,3467,0x1a7d5ed846a0,351,"ToObject"
code-creation,Stub,3,3468,0x1a7d5ed84860,2084,"RecordWriteStub"
code-creation,Stub,3,3469,0x1a7d5ed85100,292,"StoreBufferOverflowStub"
code-creation,Builtin,5,3470,0x1a7d5ed852a0,239,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,5,3470,0x1a7d5ed85400,139,"CallBoundFunction"
code-creation,Builtin,5,3471,0x1a7d5ed85500,548,"CallProxy"
code-creation,Stub,3,3472,0x1a7d5ed857a0,1693,"GetPropertyStub"
code-creation,Builtin,5,3473,0x1a7d5ed85ea0,270,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,3474,0x1a7d5ed86020,234,"JSEntryStub"
code-creation,Builtin,5,3474,0x1a7d5ed86180,128,"JSConstructEntryTrampoline"
code-creation,Builtin,5,3475,0x1a7d5ed86260,77,"Construct"
code-creation,Builtin,5,3476,0x1a7d5ed86320,18,"ConstructFunction"
code-creation,Builtin,5,3477,0x1a7d5ed863a0,139,"ConstructBoundFunction"
code-creation,Builtin,5,3477,0x1a7d5ed864a0,624,"ConstructProxy"
code-creation,Builtin,5,3478,0x1a7d5ed86780,43,"ConstructedNonConstructable"
code-creation,Builtin,5,3481,0x1a7d5ed86820,15,"EmptyFunction"
code-creation,Builtin,5,3482,0x1a7d5ed868a0,28,"AdaptorWithBuiltinExitFrame"
code-creation,Stub,3,3483,0x1a7d5ed86920,286,"CEntryStub"
code-creation,Builtin,5,3483,0x1a7d5ed86aa0,615,"CompileLazy"
code-creation,Stub,3,3484,0x1a7d5ed86d80,440,"RecordWriteStub"
code-creation,Stub,3,3485,0x1a7d5ed86fa0,1192,"RecordWriteStub"
code-creation,Stub,3,3486,0x1a7d5ed874c0,72,"StoreBufferOverflowStub"
code-creation,Stub,3,3486,0x1a7d5ed87580,1220,"RecordWriteStub"
code-creation,Builtin,5,3487,0x1a7d5ed87ac0,277,"JSConstructStubGenericUnrestrictedReturn"
code-creation,Builtin,5,3488,0x1a7d5ed87c40,925,"FastNewObject"
code-creation,Stub,3,3489,0x1a7d5ed88040,2141,"RecordWriteStub"
code-creation,Handler,4,3490,0x1a7d5ed88900,164,"An IC handler from the snapshot"
code-creation,Stub,3,3491,0x1a7d5ed88a20,87,"DoubleToIStub"
code-creation,Stub,3,3491,0x1a7d5ed88ae0,93,"DoubleToIStub"
code-creation,Stub,3,3492,0x1a7d5ed88ba0,469,"CEntryStub"
code-creation,Stub,3,3493,0x1a7d5ed88de0,2088,"RecordWriteStub"
code-creation,Stub,3,3493,0x1a7d5ed89680,2072,"RecordWriteStub"
code-creation,Stub,3,3494,0x1a7d5ed89f00,2084,"RecordWriteStub"
code-creation,Stub,3,3495,0x1a7d5ed8a7a0,2119,"RecordWriteStub"
code-creation,Stub,3,3496,0x1a7d5ed8b060,2099,"RecordWriteStub"
code-creation,Stub,3,3496,0x1a7d5ed8b900,2088,"RecordWriteStub"
code-creation,Stub,3,3497,0x1a7d5ed8c1a0,1688,"StringAddStub"
code-creation,Stub,3,3498,0x1a7d5ed8c8a0,890,"RecordWriteStub"
code-creation,Stub,3,3498,0x1a7d5ed8cc80,2134,"RecordWriteStub"
code-creation,Stub,3,3499,0x1a7d5ed8d540,2103,"RecordWriteStub"
code-creation,Stub,3,3500,0x1a7d5ed8dde0,882,"RecordWriteStub"
code-creation,Stub,3,3501,0x1a7d5ed8e1c0,2088,"RecordWriteStub"
code-creation,Stub,3,3502,0x1a7d5ed8ea60,2088,"RecordWriteStub"
code-creation,Stub,3,3502,0x1a7d5ed8f300,2126,"RecordWriteStub"
code-creation,Stub,3,3503,0x1a7d5ed8fbc0,1250,"RecordWriteStub"
code-creation,Stub,3,3504,0x1a7d5ed90120,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,3504,0x1a7d5ed90260,2100,"RecordWriteStub"
code-creation,Stub,3,3505,0x1a7d5ed90b00,2075,"RecordWriteStub"
code-creation,Stub,3,3506,0x1a7d5ed91380,367,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,3507,0x1a7d5ed91560,2075,"RecordWriteStub"
code-creation,Stub,3,3508,0x1a7d5ed91de0,2100,"RecordWriteStub"
code-creation,Stub,3,3508,0x1a7d5ed92680,363,"ArraySingleArgumentConstructorStub"
code-creation,Handler,4,3509,0x1a7d5ed92860,180,"An IC handler from the snapshot"
code-creation,Stub,3,3510,0x1a7d5ed92980,2072,"RecordWriteStub"
code-creation,Handler,4,3511,0x1a7d5ed93200,180,"An IC handler from the snapshot"
code-creation,Stub,3,3512,0x1a7d5ed93320,876,"RecordWriteStub"
code-creation,Stub,3,3512,0x1a7d5ed93700,2122,"RecordWriteStub"
code-creation,Stub,3,3532,0x1a7d5ed93fc0,884,"RecordWriteStub"
code-creation,Stub,3,3533,0x1a7d5ed943a0,87,"DoubleToIStub"
code-creation,Stub,3,3533,0x1a7d5ed94460,2097,"RecordWriteStub"
